City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
anta,0,PE,1527130800,61,-13.47,-72.15,46.4,2.24
san policarpo,12,PH,1527132502,88,12.18,125.51,86.39,9.53
mao,40,DO,1527130800,88,19.55,-71.08,78.8,8.05
pemba,24,MZ,1527132657,93,-12.97,40.52,84.05,17.25
teguise,80,ES,1527132577,99,29.06,-13.56,60.92,8.86
faya,0,SA,1527127200,36,18.39,42.45,64.4,1.92
bonavista,92,CA,1527132746,100,48.65,-53.11,35.81,21.5
calvinia,12,ZA,1527132746,75,-31.47,19.78,34.82,2.59
fereydun kenar,0,IR,1527127200,88,36.69,52.52,64.4,4.7
tabou,44,CI,1527132517,100,4.42,-7.36,80.72,5.39
pontal do parana,75,BR,1527130800,100,-25.67,-48.51,60.8,4.7
banda aceh,8,ID,1527132747,92,5.56,95.32,82.34,2.37
hambantota,92,LK,1527132748,100,6.12,81.12,77.84,15.79
maniitsoq,88,GL,1527132473,97,65.42,-52.9,29.87,4.72
taoudenni,0,ML,1527132468,25,22.68,-3.98,78.56,10.2
labuhan,76,ID,1527132748,74,-2.54,115.51,84.41,0.47
alyangula,0,AU,1527132748,82,-13.85,136.42,81.44,17.69
chala,24,TZ,1527132749,82,-7.6,31.27,49.49,3.15
hagere selam,80,ET,1527132749,97,6.48,38.52,56.78,2.15
booue,80,GA,1527132749,98,-0.09,11.94,74.06,2.15
tiksi,0,RU,1527132750,99,71.64,128.87,37.07,3.71
ponta do sol,0,BR,1527132750,72,-20.63,-46,47.24,3.6
saint-francois,90,FR,1527130800,93,46.42,3.91,48.2,1.12
la ronge,20,CA,1527127200,30,55.1,-105.3,80.6,4.7
omboue,92,GA,1527132751,100,-1.57,9.26,80.63,13.78
konjic,20,BA,1527130800,100,43.65,17.96,57.2,1.12
marawi,32,PH,1527132751,84,8,124.29,78.92,2.48
emerald,80,AU,1527132751,55,-23.53,148.16,74.24,10.98
chongwe,0,ZM,1527132752,92,-15.33,28.68,56.51,6.17
dalbandin,0,PK,1527132752,21,28.9,64.41,71.99,4.94
oranjemund,88,ZA,1527132752,96,-28.55,16.43,60.2,12.66
kulhudhuffushi,32,MV,1527132752,100,6.62,73.07,83.51,15.68
esperance,20,TT,1527130800,88,10.24,-61.45,77,5.73
misratah,0,LY,1527132753,98,32.38,15.09,64.16,5.61
farah,0,AF,1527132753,22,32.37,62.11,72.98,3.38
tahlequah,1,US,1527131700,82,35.92,-94.97,73.4,3.36
capitao poco,64,BR,1527132754,92,-1.75,-47.06,74.87,4.05
qarayeri,20,AZ,1527130800,49,40.79,46.31,68,4.7
kenai,90,US,1527130560,58,60.55,-151.26,57.2,14.99
chekmagush,20,RU,1527132754,45,55.14,54.65,68.84,10.76
san-pedro,36,CI,1527132755,96,4.75,-6.64,77.84,5.06
sao joao da barra,76,BR,1527132525,100,-21.64,-41.05,74.33,12.66
zhangye,0,CN,1527132755,73,38.94,100.46,66.77,4.16
sucre,88,BO,1527132756,94,-19.05,-65.26,42.47,1.7
sydney,75,AU,1527130800,72,-33.85,151.22,69.8,17.22
kurtamysh,0,RU,1527132756,38,54.91,64.43,68.75,11.1
brae,0,GB,1527130200,93,60.4,-1.35,46.4,1.12
yumen,32,CN,1527132756,25,40.29,97.04,72.44,8.63
tadpatri,0,IN,1527132757,66,14.92,78.02,81.44,4.38
avarua,40,CK,1527130800,74,-21.21,-159.78,82.4,3.36
guiratinga,0,BR,1527132757,70,-16.35,-53.76,58.67,0.58
dungarvan,20,IE,1527130800,81,52.09,-7.62,50,8.05
natal,0,BR,1527130800,83,-5.81,-35.21,77,5.82
nyimba,76,ZM,1527132537,69,-14.56,30.81,70.46,6.17
pitkyaranta,92,RU,1527132758,44,61.57,31.48,55.97,11.99
barao de melgaco,0,BR,1527130800,73,-16.19,-55.97,69.8,3.36
auki,0,NG,1527132759,70,12.18,6.51,74.33,3.6
port pirie,0,AU,1527130800,55,-33.18,138.01,62.6,6.93
jiwani,0,PK,1527132759,49,25.05,61.74,86.84,5.39
jardim,0,BR,1527132759,84,-21.48,-56.15,56.06,4.61
nanyuki,32,KE,1527132759,98,0.01,37.07,48.32,2.59
bhag,0,PK,1527132760,13,29.04,67.82,86.12,3.38
sakaiminato,20,JP,1527127200,46,35.55,133.23,69.8,11.41
rapar,0,IN,1527132760,68,23.57,70.65,85.67,10.2
ilheus,92,BR,1527132760,100,-14.79,-39.05,72.98,5.39
tocopilla,8,CL,1527132761,99,-22.09,-70.2,56.42,2.04
ushuaia,90,AR,1527127200,100,-54.81,-68.31,37.4,8.05
gondar,0,PT,1527130800,77,41.82,-8.78,59,3.15
marsa matruh,0,EG,1527130800,77,31.35,27.25,69.8,6.93
atar,0,MR,1527132761,24,20.52,-13.05,67.67,5.95
kutum,0,SD,1527132762,54,14.2,24.66,72.17,9.75
ploemeur,20,FR,1527130800,100,47.73,-3.43,51.8,9.17
hilton head island,1,US,1527132900,78,32.16,-80.75,77,8.05
san carlos del zulia,40,VE,1527130800,85,9,-71.91,80.6,2.04
chekhov,0,RU,1527129000,82,55.14,37.45,55.4,4.47
alugan,12,PH,1527132763,88,12.22,125.48,86.39,9.53
porto walter,36,BR,1527132763,80,-8.27,-72.74,74.87,3.15
jimeta,0,NG,1527132764,84,9.28,12.44,72.44,2.93
nioro,8,GM,1527132526,40,13.79,-15.05,77.3,6.17
mezen,88,RU,1527132764,84,65.85,44.24,38.24,9.75
hobart,40,AU,1527130800,41,-42.88,147.33,57.2,13.87
mangai,68,CD,1527132764,94,-4.07,19.59,72.71,2.15
ulaanbaatar,0,MN,1527130800,12,47.92,106.92,73.4,4.47
puerto el triunfo,75,SV,1527130200,94,13.27,-88.55,78.8,3.36
evanston,1,US,1527130800,72,42.04,-87.69,66.2,3.49
punta arenas,75,CL,1527127200,86,-53.16,-70.91,39.2,10.29
derzhavinsk,80,KZ,1527132766,49,51.1,66.31,53.72,13.22
coquimbo,0,CL,1527130800,93,-29.95,-71.34,48.2,4.7
grindavik,75,IS,1527130800,86,63.84,-22.43,41,2.24
puerto carreno,75,CO,1527127200,94,6.19,-67.49,77,3.04
constitucion,5,MX,1527129720,17,23.99,-104.67,77,17.22
bodmin,75,GB,1527130200,87,50.47,-4.72,55.4,8.05
gwadar,0,PK,1527132767,50,25.12,62.33,88.46,10.76
pandan,0,PH,1527132768,100,11.72,122.09,85.22,13.44
thinadhoo,68,MV,1527132768,100,0.53,72.93,84.14,14.45
buraydah,0,SA,1527127200,47,26.33,43.97,77,3.36
alexandria,40,US,1527131580,83,31.31,-92.44,75.2,2.93
kruisfontein,12,ZA,1527132469,91,-34,24.73,59.66,8.41
bonoua,75,CI,1527130800,83,5.27,-3.6,82.4,8.05
bealanana,0,MG,1527132769,69,-14.54,48.75,64.34,8.75
pacific grove,90,US,1527130500,76,36.62,-121.92,57.2,5.82
lebu,75,ET,1527130800,82,8.96,38.73,59,4.7
porto belo,0,BR,1527130800,87,-27.15,-48.54,55.4,5.82
kassala,64,SD,1527132770,85,15.45,36.38,68.84,7.85
betare oya,76,CM,1527132770,99,5.6,14.08,66.59,3.04
chalons-en-champagne,90,FR,1527130800,93,48.95,4.37,57.2,2.59
marzuq,0,YE,1527132771,29,14.4,46.47,54.53,2.15
abnub,0,EG,1527130800,39,27.27,31.15,82.4,4.7
meulaboh,20,ID,1527132771,100,4.14,96.13,83.06,2.93
novo aripuana,44,BR,1527132772,96,-5.12,-60.38,76.13,2.37
north branch,75,US,1527131820,77,45.51,-92.98,75.2,11.77
diego de almagro,0,CL,1527132772,81,-26.39,-70.05,49.67,2.15
sur,0,OM,1527132773,76,22.57,59.53,87.47,9.19
somerset west,75,ZA,1527130800,88,-34.08,18.85,62.6,23.04
balikpapan,88,ID,1527132773,100,-1.24,116.86,83.24,3.15
kosh-agach,56,RU,1527132774,56,49.99,88.66,31.49,12.77
kendari,92,ID,1527132628,100,-3.99,122.52,75.77,3.83
san miguel,0,AR,1527130800,87,-34.54,-58.72,59,2.71
agropoli,92,IT,1527132776,100,40.35,15,63.53,6.4
estevan,20,CA,1527131700,100,49.14,-102.99,68,6.93
cape town,75,ZA,1527130800,88,-33.93,18.42,62.6,23.04
hermosillo,5,MX,1527129600,18,29.09,-110.96,84.2,6.93
broome,76,GB,1527130560,93,52.47,1.45,51.8,6.93
campos novos,0,BR,1527132777,71,-27.4,-51.22,30.41,3.94
wesselsbron,0,ZA,1527132777,74,-27.85,26.36,41.48,2.59
benguela,48,AO,1527132777,99,-12.58,13.4,74.96,2.04
yerbogachen,68,RU,1527132539,80,61.28,108.01,45.62,6.96
aparecida do taboado,0,BR,1527132778,93,-20.08,-51.1,57.59,4.72
adwa,0,ET,1527132778,77,14.16,38.9,50.93,2.37
yantal,44,RU,1527132779,72,56.85,105.25,49.67,3.15
maragogi,92,BR,1527132779,97,-9.01,-35.22,74.42,5.73
gat,0,SN,1527130800,73,14.69,-16.54,71.6,6.93
camocim,88,BR,1527132779,83,-2.9,-40.84,78.47,7.74
cururupu,20,BR,1527132779,90,-1.82,-44.87,77.12,5.06
cassilandia,0,BR,1527132780,81,-19.11,-51.73,51.11,3.38
ixtapa,5,MX,1527129660,88,20.71,-105.21,80.6,6.93
george,20,NG,1527130800,83,6.63,3.35,80.6,6.17
saint-pierre,90,FR,1527130800,93,48.95,4.24,57.2,2.59
cumra,0,TR,1527130200,71,37.57,32.77,57.2,2.71
haines junction,48,CA,1527132781,44,60.75,-137.51,43.01,2.59
bukama,0,CD,1527132782,73,-9.2,25.85,61.91,2.59
sayyan,0,YE,1527132782,45,15.17,44.32,48.68,3.94
sulangan,32,PH,1527132782,100,11.14,123.72,85.94,9.98
luderitz,0,NA,1527132783,86,-26.65,15.16,55.88,8.52
north platte,1,US,1527130380,69,41.12,-100.77,73.4,12.75
torbat-e jam,0,IR,1527132783,28,35.24,60.63,65.87,7.07
abalak,8,NE,1527132783,68,15.46,6.28,71.72,3.04
karatau,0,KZ,1527132784,32,43.18,70.46,50.12,12.44
riyadh,0,SA,1527127200,14,24.63,46.72,80.6,6.93
namibe,0,AO,1527132784,96,-15.19,12.15,69.11,7.96
valenza,20,IT,1527130200,82,45.01,8.65,62.6,5.82
leh,48,IN,1527132785,69,34.16,77.58,17.72,1.81
manyana,90,AU,1527127200,72,-35.26,150.51,60.8,7.96
virginia beach,40,US,1527131700,88,36.85,-75.98,75.2,3.36
gloucester,90,GB,1527131220,87,51.87,-2.25,50,12.75
arraial do cabo,64,BR,1527132785,92,-22.97,-42.02,71.18,6.85
andra,92,RU,1527132786,96,62.52,65.89,52.82,11.21
contamana,36,PE,1527132786,83,-7.35,-75.01,75.86,2.59
mantua,75,IT,1527130500,87,45.16,10.79,64.4,2.24
uspenka,24,UA,1527132786,75,48.39,39.16,60.56,7.4
am timan,24,TD,1527132787,65,11.04,20.28,78.11,5.28
beidao,0,CN,1527132787,79,34.57,105.89,62.27,3.6
sept-iles,5,CA,1527127200,86,50.2,-66.38,26.6,2.24
kisangani,68,CD,1527132787,100,0.52,25.21,72.44,2.37
ancud,64,CL,1527132788,92,-41.87,-73.83,45.35,2.37
limulunga,0,ZM,1527132788,71,-15.13,23.15,53.81,6.96
birao,92,CF,1527132788,53,10.3,22.78,82.43,10.54
sao felix do xingu,64,BR,1527132788,93,-6.64,-51.99,74.15,1.36
jaisalmer,0,IN,1527132789,18,26.91,70.91,88.01,7.63
jumla,0,NP,1527132789,85,29.28,82.18,45.62,1.7
phalaborwa,0,ZA,1527132789,80,-23.95,31.14,62.27,3.38
laredo,1,US,1527131700,58,27.51,-99.51,86,17.22
capelinha,48,BR,1527132790,87,-17.69,-42.52,66.86,9.75
yanam,56,IN,1527132546,74,16.73,82.22,87.83,5.39
xichang,76,CN,1527132790,74,27.88,102.25,63.62,1.92
atambua,0,ID,1527132790,83,-9.11,124.89,85.4,6.4
quatre cocos,75,MU,1527130800,69,-20.21,57.76,75.2,17.22
hilo,90,US,1527130560,61,19.71,-155.08,78.8,6.93
arawa,20,NG,1527132791,93,7.05,3.9,76.22,3.38
san jose,36,PH,1527132788,76,15.79,120.99,85.76,2.71
bequimao,20,BR,1527130800,88,-2.45,-44.78,78.8,5.82
viedma,0,AR,1527132792,79,-40.81,-62.99,34.1,2.82
anloga,20,GH,1527130800,94,5.79,0.9,78.8,6.93
moussoro,0,TD,1527132793,55,13.64,16.49,71.81,2.82
karratha,0,AU,1527132793,15,-20.74,116.85,84.14,12.33
tuktoyaktuk,90,CA,1527127200,86,69.44,-133.03,28.4,17.22
carnarvon,0,ZA,1527132793,77,-30.97,22.13,39.95,7.29
beterou,36,BJ,1527132794,92,9.2,2.26,73.52,5.06
ahipara,92,NZ,1527132794,85,-35.17,173.16,61.46,19.26
zhigansk,8,RU,1527132794,47,66.77,123.37,61.37,5.73
copiapo,0,CL,1527130800,87,-27.37,-70.33,53.6,2.24
tunduma,32,ZM,1527132795,95,-9.31,32.77,58.22,9.98
vallenar,0,CL,1527132795,62,-28.58,-70.76,47.42,5.17
makakilo city,20,US,1527130620,58,21.35,-158.09,82.4,10.29
new norfolk,40,AU,1527130800,41,-42.78,147.06,57.2,13.87
saskylakh,12,RU,1527132796,96,71.97,114.09,37.7,5.73
manadhoo,76,MV,1527132796,100,5.77,73.38,83.87,16.58
castro,88,CL,1527132797,97,-42.48,-73.76,45.44,3.49
san patricio,0,PY,1527132797,80,-26.98,-56.83,49.13,4.72
nanortalik,88,GL,1527132797,93,60.14,-45.24,31.76,17.13
iquique,75,CL,1527130800,77,-20.22,-70.14,62.6,2.24
bam,0,IR,1527132798,21,29.11,58.36,70.46,9.19
koppa,0,IN,1527132799,91,13.53,75.36,78.29,6.96
pullman,1,US,1527130560,56,46.73,-117.17,73.4,4.7
walvis bay,0,NA,1527130800,63,-22.95,14.51,62.6,5.82
araouane,76,ML,1527132800,19,18.9,-3.53,88.91,6.06
kalakamati,0,BW,1527132800,76,-20.59,27.31,53.72,10.09
nizhniy baskunchak,0,RU,1527132800,32,48.22,46.83,73.88,15.68
souillac,0,FR,1527130800,93,45.6,-0.6,55.4,2.24
pozo colorado,0,PY,1527132801,72,-23.49,-58.8,54.8,6.96
maltahohe,0,NA,1527132801,54,-24.83,16.98,44.45,6.62
trairi,36,BR,1527132801,99,-3.28,-39.27,82.79,13
metro,64,ID,1527132802,100,-5.11,105.31,81.71,4.61
talara,24,PE,1527132802,86,-4.58,-81.27,69.2,5.95
ilulissat,36,GL,1527130200,92,69.22,-51.1,28.4,9.17
aswan,0,EG,1527130800,12,24.09,32.9,87.8,8.05
teseney,24,ER,1527132802,94,15.11,36.66,67.31,8.52
san quintin,20,PH,1527130800,70,17.54,120.52,89.6,9.17
nieuw amsterdam,40,SR,1527127200,94,5.88,-55.08,77,1.12
mier,40,IT,1527130500,82,46.13,12.19,68,4.7
isiro,8,CD,1527132803,95,2.77,27.62,66.41,2.15
bedesa,0,ET,1527132804,88,8.9,40.78,52.91,4.38
barrow,0,AR,1527132804,74,-38.31,-60.23,38.51,5.17
marrakesh,75,MA,1527130800,100,31.63,-7.99,57.2,8.05
praia,0,BR,1527127200,72,-20.25,-43.81,64.4,4.7
georgetown,75,GY,1527127200,100,6.8,-58.16,75.2,4.7
kaniama,0,CD,1527132805,70,-7.57,24.18,65.69,2.04
rio gallegos,40,AR,1527130800,87,-51.62,-69.22,42.8,6.93
sinazongwe,8,ZM,1527132805,100,-17.26,27.46,61.37,1.36
xiamen,75,CN,1527127200,58,24.46,118.07,82.4,2.24
salalah,0,OM,1527130200,37,17.01,54.1,86,4.7
edea,75,CM,1527130800,94,3.8,10.13,75.2,4.7
varhaug,0,NO,1527130200,93,58.61,5.65,46.4,4.7
mocuba,24,MZ,1527132807,94,-16.84,36.99,66.23,2.59
beira,8,ES,1527130800,93,43.2,-8.36,59,3.36
paita,24,PE,1527132807,86,-5.09,-81.11,69.2,5.95
puri,24,ID,1527132807,94,-7.54,112.45,79.73,4.72
bredasdorp,32,ZA,1527130800,63,-34.53,20.04,66.2,4.7
santa maria,20,BR,1527127200,100,-29.69,-53.81,41,1.12
namatanai,12,PG,1527132809,97,-3.66,152.44,85.04,4.61
cabatuan,8,PH,1527132809,94,16.95,121.67,84.77,2.71
berekua,64,DM,1527132810,93,15.23,-61.32,79.64,15.68
port hedland,0,AU,1527130800,18,-20.31,118.58,84.2,14.99
parkersburg,1,US,1527131700,87,39.27,-81.55,60.8,4.61
kuito,0,AO,1527132810,79,-12.38,16.94,45.62,2.59
hami,92,CN,1527132811,28,42.84,93.51,80.27,13.67
magaria,0,NE,1527132811,52,13,8.91,76.58,8.19
hashtrud,68,IR,1527132811,97,37.48,47.05,50.21,6.17
san jose de sisa,40,PE,1527130800,100,-6.62,-76.69,73.4,3.36
hasaki,40,JP,1527129000,73,35.73,140.83,73.4,8.05
kharp,0,RU,1527132812,93,66.82,65.8,33.74,26.87
tirano,90,IT,1527132000,93,46.22,10.17,41,3.36
kolosovka,64,RU,1527132812,53,56.47,73.61,48.77,10.2
skjervoy,88,NO,1527132813,100,70.03,20.97,40.22,11.21
yangjiang,0,CN,1527132813,100,21.85,111.96,84.77,7.96
hvide sande,0,DK,1527130200,76,56.01,8.13,53.6,3.36
nacala,12,MZ,1527132813,99,-14.56,40.69,78.02,6.4
hobbs,1,US,1527131700,59,32.7,-103.14,66.2,13.87
bireun,32,ID,1527132814,100,5.2,96.7,81.71,5.95
norman wells,75,CA,1527127200,45,65.28,-126.83,64.4,11.41
sao sebastiao,76,BR,1527132814,96,-3.15,-58.36,75.41,2.59
watsa,20,CD,1527132815,90,3.04,29.53,62.54,2.59
tari,0,NG,1527132815,64,12.41,4.49,79.91,8.41
oruro,0,BO,1527132815,92,-17.97,-67.11,33.29,6.4
trogir,0,HR,1527130800,87,43.52,16.25,60.8,3.36
kiunga,88,PG,1527132816,90,-6.12,141.3,81.26,1.48
praia da vitoria,75,PT,1527130800,93,38.73,-27.07,62.6,6.62
genhe,64,CN,1527132816,67,50.78,121.52,47.51,6.85
pitimbu,40,BR,1527130800,94,-7.47,-34.81,73.4,6.93
cockburn town,44,TC,1527132817,96,21.46,-71.14,79.37,23.4
isla mujeres,90,MX,1527130080,88,21.23,-86.73,78.8,12.75
nicolas bravo,5,MX,1527129720,50,24.39,-104.74,77,17.22
bilma,0,NE,1527132817,22,18.69,12.92,71.18,2.04
mitzic,88,GA,1527132818,99,0.78,11.55,72.44,2.26
chokurdakh,0,RU,1527132818,100,70.62,147.9,28.07,7.18
bereda,0,ES,1527130800,93,43.27,-7.54,57.2,3.36
diffa,0,NE,1527132818,36,13.32,12.61,71.63,4.5
hualmay,68,PE,1527132819,91,-11.1,-77.61,61.82,4.72
peniche,20,PT,1527130800,93,39.36,-9.38,60.8,2.24
alta floresta,0,BR,1527132819,93,-9.87,-56.08,72.53,2.15
sambava,80,MG,1527132819,100,-14.27,50.17,76.85,18.7
kanigoro,36,ID,1527132820,83,-8.13,112.22,81.98,13
fairmont,1,US,1527131700,57,40.64,-97.59,78.8,16.11
guerrero negro,0,MX,1527132820,90,27.97,-114.04,60.47,10.31
balkhash,0,KZ,1527132821,100,46.84,74.98,47.87,9.64
redmond,40,US,1527131700,43,47.67,-122.12,73.4,4.7
mayo,75,CA,1527127200,31,63.59,-135.9,60.8,5.82
moba,8,CD,1527132821,95,-7.04,29.77,64.43,2.04
opuwo,0,NA,1527132821,58,-18.06,13.84,48.68,2.71
north bend,90,US,1527131700,87,43.41,-124.22,55.4,4.7
inongo,20,CD,1527132822,90,-1.93,18.29,73.88,2.93
najran,0,SA,1527130800,36,17.54,44.22,69.8,4.7
belmonte,36,PT,1527132649,93,40.36,-7.35,50.39,2.59
jalu,64,LY,1527132823,29,29.03,21.55,84.32,5.84
amudat,76,UG,1527132823,100,1.95,34.95,59.84,2.37
matara,0,PE,1527132823,84,-13.74,-72.9,34.01,1.92
cidreira,0,BR,1527132824,98,-30.17,-50.22,45.89,6.51
kodiak,1,US,1527130380,65,39.95,-94.76,78.8,8.05
hofn,92,IS,1527132824,100,64.25,-15.21,42.2,8.19
sorada,8,IN,1527132825,80,19.76,84.43,85.94,3.6
dakoro,8,NE,1527132825,72,14.51,6.76,71.99,3.71
mungwi,0,ZM,1527132825,88,-10.17,31.37,54.26,5.39
znamenskoye,80,RU,1527132826,58,57.13,73.82,47.69,8.41
baijiantan,80,CN,1527132703,31,45.63,85.18,55.16,24.29
tasiilaq,92,GL,1527130200,86,65.61,-37.64,33.8,14.99
wamba,8,CD,1527132826,95,2.14,27.99,65.78,2.04
knysna,0,ZA,1527130800,82,-34.04,23.05,55.4,3.36
nokaneng,24,BW,1527132827,73,-19.66,22.19,54.44,2.93
saint austell,75,GB,1527130200,87,50.34,-4.77,55.4,8.05
mount gambier,88,AU,1527132827,89,-37.83,140.78,56.51,3.38
ullapool,0,GB,1527132827,95,57.9,-5.16,48.86,5.61
kramat,56,ID,1527132828,78,-7.04,112.64,87.56,2.59
rocha,0,UY,1527132828,82,-34.48,-54.34,39.95,5.61
limbang,75,BN,1527130800,63,4.75,115.01,91.4,3.36
leopold,1,US,1527130560,64,38.1,-86.58,75.2,5.82
codrington,0,AU,1527132829,77,-28.95,153.24,68.39,3.38
ilam,40,IR,1527130800,63,33.64,46.42,62.6,4.7
zvishavane,0,ZW,1527132830,82,-20.32,30.05,46.79,2.59
nalut,0,LY,1527132830,75,31.86,10.98,62.72,6.73
sao filipe,20,CV,1527132830,100,14.9,-24.5,69.92,16.58
khatanga,56,RU,1527132830,99,71.98,102.47,34.19,4.27
korhogo,0,CI,1527132831,78,9.46,-5.63,78.83,7.52
caravelas,0,BR,1527132831,100,-17.73,-39.27,77.84,16.02
husavik,48,CA,1527132831,40,50.56,-96.99,75.32,7.63
doha,0,QA,1527127200,51,25.29,51.53,82.4,3.36
nouakchott,0,MR,1527132831,91,18.08,-15.98,69.02,19.37
belen,20,TR,1527130200,83,36.49,36.19,71.6,11.41
busselton,88,AU,1527132832,88,-33.64,115.35,70.46,25.41
yenagoa,76,NG,1527132832,92,4.92,6.26,77.3,4.61
biltine,92,TD,1527132833,24,14.53,20.93,88.37,8.3
abu samrah,0,SY,1527132833,69,35.3,37.18,65.69,6.62
vila franca do campo,75,PT,1527130800,93,37.72,-25.43,62.6,4.7
lucapa,0,AO,1527132834,76,-8.42,20.74,61.91,4.38
yar-sale,12,RU,1527132834,93,66.83,70.83,34.37,16.13
mahebourg,75,MU,1527130800,69,-20.41,57.7,75.2,17.22
ghanzi,0,BW,1527132834,73,-21.7,21.65,50.12,3.38
nikolskoye,0,RU,1527129000,81,59.7,30.79,53.6,8.95
mococa,0,BR,1527127200,72,-21.46,-47,59,4.7
geraldton,75,CA,1527127200,42,49.72,-86.95,68,8.05
vestmannaeyjar,92,IS,1527132835,100,63.44,-20.27,41.21,4.27
mgandu,36,TZ,1527132836,82,-5.96,34.11,58.94,6.73
deming,1,US,1527131700,12,32.27,-107.76,80.6,9.17
itarema,88,BR,1527132836,83,-2.92,-39.92,79.01,7.85
wolgast,0,DE,1527132836,85,54.05,13.77,56.06,11.21
olga,1,US,1527130680,63,34.11,-118.17,66.2,4.7
novokizhinginsk,80,RU,1527132837,67,51.61,109.59,60.92,3.83
surt,32,LY,1527132837,100,31.21,16.59,66.41,6.06
minab,0,IR,1527130800,45,27.15,57.07,86,4.7
villarrobledo,92,ES,1527132837,39,39.27,-2.6,61.01,12.1
barcelos,40,PT,1527130800,93,41.53,-8.62,59,2.24
bathsheba,20,BB,1527130800,78,13.22,-59.52,78.8,16.11
bichena,56,ET,1527132838,50,10.45,38.2,64.52,1.59
airai,12,TL,1527132838,66,-8.93,125.41,80.54,2.37
quelimane,0,MZ,1527127200,88,-17.88,36.89,69.8,2.24
pathein,8,MM,1527132839,76,16.78,94.73,89.36,4.5
bernalillo,1,US,1527131700,46,35.3,-106.55,75.2,24.16
comodoro rivadavia,0,AR,1527130800,87,-45.87,-67.48,48.2,1.12
faanui,36,PF,1527132840,99,-16.48,-151.75,82.43,14
saint george,40,GR,1527130200,93,39.45,22.34,60.8,3.38
chuy,0,UY,1527132840,95,-33.69,-53.46,45.62,7.18
makokou,92,GA,1527132840,97,0.56,12.85,73.16,2.59
sobolevo,88,RU,1527132841,100,54.43,31.9,56.15,5.28
alindao,80,CF,1527132841,86,5.04,21.21,74.51,7.18
tuy hoa,100,VN,1527132841,76,13.08,109.3,85.94,3.94
